contest,href,index,problem_name,score
weekly-122,/contest/weekly-contest-122/problems/sum-of-even-numbers-after-queries,0,Sum of Even Numbers After Queries,4
weekly-122,/contest/weekly-contest-122/problems/smallest-string-starting-from-leaf,1,Smallest String Starting From Leaf,5
weekly-122,/contest/weekly-contest-122/problems/interval-list-intersections,2,Interval List Intersections,5
weekly-122,/contest/weekly-contest-122/problems/vertical-order-traversal-of-a-binary-tree,3,Vertical Order Traversal of a Binary Tree,5
weekly-123,/contest/weekly-contest-123/problems/add-to-array-form-of-integer,0,Add to Array-Form of Integer,4
weekly-123,/contest/weekly-contest-123/problems/satisfiability-of-equality-equations,1,Satisfiability of Equality Equations,6
weekly-123,/contest/weekly-contest-123/problems/broken-calculator,2,Broken Calculator,6
weekly-123,/contest/weekly-contest-123/problems/subarrays-with-k-different-integers,3,Subarrays with K Different Integers,8
weekly-124,/contest/weekly-contest-124/problems/cousins-in-binary-tree,0,Cousins in Binary Tree,4
weekly-124,/contest/weekly-contest-124/problems/rotting-oranges,1,Rotting Oranges,5
weekly-124,/contest/weekly-contest-124/problems/minimum-number-of-k-consecutive-bit-flips,2,Minimum Number of K Consecutive Bit Flips,6
weekly-124,/contest/weekly-contest-124/problems/number-of-squareful-arrays,3,Number of Squareful Arrays,6
weekly-125,/contest/weekly-contest-125/problems/find-the-town-judge,0,Find the Town Judge,4
weekly-125,/contest/weekly-contest-125/problems/available-captures-for-rook,1,Available Captures for Rook,4
weekly-125,/contest/weekly-contest-125/problems/maximum-binary-tree-ii,2,Maximum Binary Tree II,6
weekly-125,/contest/weekly-contest-125/problems/grid-illumination,3,Grid Illumination,8
weekly-126,/contest/weekly-contest-126/problems/find-common-characters,0,Find Common Characters,3
weekly-126,/contest/weekly-contest-126/problems/check-if-word-is-valid-after-substitutions,1,Check If Word Is Valid After Substitutions,5
weekly-126,/contest/weekly-contest-126/problems/max-consecutive-ones-iii,2,Max Consecutive Ones III,6
weekly-126,/contest/weekly-contest-126/problems/minimum-cost-to-merge-stones,3,Minimum Cost to Merge Stones,9
weekly-127,/contest/weekly-contest-127/problems/maximize-sum-of-array-after-k-negations,0,Maximize Sum Of Array After K Negations,4
weekly-127,/contest/weekly-contest-127/problems/clumsy-factorial,1,Clumsy Factorial,4
weekly-127,/contest/weekly-contest-127/problems/minimum-domino-rotations-for-equal-row,2,Minimum Domino Rotations For Equal Row,5
weekly-127,/contest/weekly-contest-127/problems/construct-binary-search-tree-from-preorder-traversal,3,Construct Binary Search Tree from Preorder Traversal,6
weekly-128,/contest/weekly-contest-128/problems/complement-of-base-10-integer,0,Complement of Base 10 Integer,2
weekly-128,/contest/weekly-contest-128/problems/pairs-of-songs-with-total-durations-divisible-by-60,1,Pairs of Songs With Total Durations Divisible by 60,4
weekly-128,/contest/weekly-contest-128/problems/capacity-to-ship-packages-within-d-days,2,Capacity To Ship Packages Within D Days,6
weekly-128,/contest/weekly-contest-128/problems/numbers-with-repeated-digits,3,Numbers With Repeated Digits,8
weekly-129,/contest/weekly-contest-129/problems/partition-array-into-three-parts-with-equal-sum,0,Partition Array Into Three Parts With Equal Sum,4
weekly-129,/contest/weekly-contest-129/problems/smallest-integer-divisible-by-k,1,Smallest Integer Divisible by K,4
weekly-129,/contest/weekly-contest-129/problems/best-sightseeing-pair,2,Best Sightseeing Pair,5
weekly-129,/contest/weekly-contest-129/problems/binary-string-with-substrings-representing-1-to-n,3,Binary String With Substrings Representing 1 To N,5
weekly-130,/contest/weekly-contest-130/problems/binary-prefix-divisible-by-5,0,Binary Prefix Divisible By 5,4
weekly-130,/contest/weekly-contest-130/problems/convert-to-base-2,1,Convert to Base -2,5
weekly-130,/contest/weekly-contest-130/problems/next-greater-node-in-linked-list,2,Next Greater Node In Linked List,5
weekly-130,/contest/weekly-contest-130/problems/number-of-enclaves,3,Number of Enclaves,5
weekly-131,/contest/weekly-contest-131/problems/remove-outermost-parentheses,0,Remove Outermost Parentheses,5
weekly-131,/contest/weekly-contest-131/problems/sum-of-root-to-leaf-binary-numbers,1,Sum of Root To Leaf Binary Numbers,5
weekly-131,/contest/weekly-contest-131/problems/camelcase-matching,2,Camelcase Matching,6
weekly-131,/contest/weekly-contest-131/problems/video-stitching,3,Video Stitching,6
weekly-132,/contest/weekly-contest-132/problems/divisor-game,0,Divisor Game,4
weekly-132,/contest/weekly-contest-132/problems/maximum-difference-between-node-and-ancestor,1,Maximum Difference Between Node and Ancestor,6
weekly-132,/contest/weekly-contest-132/problems/longest-arithmetic-subsequence,2,Longest Arithmetic Subsequence,6
weekly-132,/contest/weekly-contest-132/problems/recover-a-tree-from-preorder-traversal,3,Recover a Tree From Preorder Traversal,8
weekly-133,/contest/weekly-contest-133/problems/matrix-cells-in-distance-order,0,Matrix Cells in Distance Order,4
weekly-133,/contest/weekly-contest-133/problems/two-city-scheduling,1,Two City Scheduling,4
weekly-133,/contest/weekly-contest-133/problems/maximum-sum-of-two-non-overlapping-subarrays,2,Maximum Sum of Two Non-Overlapping Subarrays,6
weekly-133,/contest/weekly-contest-133/problems/stream-of-characters,3,Stream of Characters,7
weekly-134,/contest/weekly-contest-134/problems/moving-stones-until-consecutive,0,Moving Stones Until Consecutive,4
weekly-134,/contest/weekly-contest-134/problems/coloring-a-border,1,Coloring A Border,5
weekly-134,/contest/weekly-contest-134/problems/uncrossed-lines,2,Uncrossed Lines,5
weekly-134,/contest/weekly-contest-134/problems/escape-a-large-maze,3,Escape a Large Maze,8
weekly-135,/contest/weekly-contest-135/problems/valid-boomerang,0,Valid Boomerang,3
weekly-135,/contest/weekly-contest-135/problems/binary-search-tree-to-greater-sum-tree,1,Binary Search Tree to Greater Sum Tree,5
weekly-135,/contest/weekly-contest-135/problems/minimum-score-triangulation-of-polygon,2,Minimum Score Triangulation of Polygon,6
weekly-135,/contest/weekly-contest-135/problems/moving-stones-until-consecutive-ii,3,Moving Stones Until Consecutive II,7
weekly-136,/contest/weekly-contest-136/problems/robot-bounded-in-circle,0,Robot Bounded In Circle,4
weekly-136,/contest/weekly-contest-136/problems/flower-planting-with-no-adjacent,1,Flower Planting With No Adjacent,5
weekly-136,/contest/weekly-contest-136/problems/partition-array-for-maximum-sum,2,Partition Array for Maximum Sum,6
weekly-136,/contest/weekly-contest-136/problems/longest-duplicate-substring,3,Longest Duplicate Substring,8
weekly-137,/contest/weekly-contest-137/problems/last-stone-weight,0,Last Stone Weight,3
weekly-137,/contest/weekly-contest-137/problems/remove-all-adjacent-duplicates-in-string,1,Remove All Adjacent Duplicates In String,4
weekly-137,/contest/weekly-contest-137/problems/longest-string-chain,2,Longest String Chain,6
weekly-137,/contest/weekly-contest-137/problems/last-stone-weight-ii,3,Last Stone Weight II,6
weekly-138,/contest/weekly-contest-138/problems/height-checker,0,Height Checker,2
weekly-138,/contest/weekly-contest-138/problems/grumpy-bookstore-owner,1,Grumpy Bookstore Owner,6
weekly-138,/contest/weekly-contest-138/problems/previous-permutation-with-one-swap,2,Previous Permutation With One Swap,6
weekly-138,/contest/weekly-contest-138/problems/distant-barcodes,3,Distant Barcodes,6
weekly-139,/contest/weekly-contest-139/problems/greatest-common-divisor-of-strings,0,Greatest Common Divisor of Strings,4
weekly-139,/contest/weekly-contest-139/problems/flip-columns-for-maximum-number-of-equal-rows,1,Flip Columns For Maximum Number of Equal Rows,6
weekly-139,/contest/weekly-contest-139/problems/adding-two-negabinary-numbers,2,Adding Two Negabinary Numbers,6
weekly-139,/contest/weekly-contest-139/problems/number-of-submatrices-that-sum-to-target,3,Number of Submatrices That Sum to Target,8
weekly-140,/contest/weekly-contest-140/problems/occurrences-after-bigram,0,Occurrences After Bigram,4
weekly-140,/contest/weekly-contest-140/problems/letter-tile-possibilities,1,Letter Tile Possibilities,6
weekly-140,/contest/weekly-contest-140/problems/insufficient-nodes-in-root-to-leaf-paths,2,Insufficient Nodes in Root to Leaf Paths,6
weekly-140,/contest/weekly-contest-140/problems/smallest-subsequence-of-distinct-characters,3,Smallest Subsequence of Distinct Characters,6
weekly-141,/contest/weekly-contest-141/problems/duplicate-zeros,0,Duplicate Zeros,4
weekly-141,/contest/weekly-contest-141/problems/largest-values-from-labels,1,Largest Values From Labels,5
weekly-141,/contest/weekly-contest-141/problems/shortest-path-in-binary-matrix,2,Shortest Path in Binary Matrix,5
weekly-141,/contest/weekly-contest-141/problems/shortest-common-supersequence,3,Shortest Common Supersequence ,8
weekly-142,/contest/weekly-contest-142/problems/statistics-from-a-large-sample,0,Statistics from a Large Sample,5
weekly-142,/contest/weekly-contest-142/problems/car-pooling,1,Car Pooling,5
weekly-142,/contest/weekly-contest-142/problems/find-in-mountain-array,2,Find in Mountain Array,8
weekly-142,/contest/weekly-contest-142/problems/brace-expansion-ii,3,Brace Expansion II,8
weekly-143,/contest/weekly-contest-143/problems/distribute-candies-to-people,0,Distribute Candies to People,4
weekly-143,/contest/weekly-contest-143/problems/path-in-zigzag-labelled-binary-tree,1,Path In Zigzag Labelled Binary Tree,4
weekly-143,/contest/weekly-contest-143/problems/filling-bookcase-shelves,2,Filling Bookcase Shelves,6
weekly-143,/contest/weekly-contest-143/problems/parsing-a-boolean-expression,3,Parsing A Boolean Expression,6
weekly-144,/contest/weekly-contest-144/problems/defanging-an-ip-address,0,Defanging an IP Address,1
weekly-144,/contest/weekly-contest-144/problems/corporate-flight-bookings,1,Corporate Flight Bookings,4
weekly-144,/contest/weekly-contest-144/problems/delete-nodes-and-return-forest,2,Delete Nodes And Return Forest,6
weekly-144,/contest/weekly-contest-144/problems/maximum-nesting-depth-of-two-valid-parentheses-strings,3,Maximum Nesting Depth of Two Valid Parentheses Strings,6
weekly-145,/contest/weekly-contest-145/problems/relative-sort-array,0,Relative Sort Array,3
weekly-145,/contest/weekly-contest-145/problems/lowest-common-ancestor-of-deepest-leaves,1,Lowest Common Ancestor of Deepest Leaves,6
weekly-145,/contest/weekly-contest-145/problems/longest-well-performing-interval,2,Longest Well-Performing Interval,7
weekly-145,/contest/weekly-contest-145/problems/smallest-sufficient-team,3,Smallest Sufficient Team,7
weekly-146,/contest/weekly-contest-146/problems/number-of-equivalent-domino-pairs,0,Number of Equivalent Domino Pairs,3
weekly-146,/contest/weekly-contest-146/problems/shortest-path-with-alternating-colors,1,Shortest Path with Alternating Colors,5
weekly-146,/contest/weekly-contest-146/problems/minimum-cost-tree-from-leaf-values,2,Minimum Cost Tree From Leaf Values,6
weekly-146,/contest/weekly-contest-146/problems/maximum-of-absolute-value-expression,3,Maximum of Absolute Value Expression,7
weekly-147,/contest/weekly-contest-147/problems/n-th-tribonacci-number,0,N-th Tribonacci Number,2
weekly-147,/contest/weekly-contest-147/problems/alphabet-board-path,1,Alphabet Board Path,5
weekly-147,/contest/weekly-contest-147/problems/largest-1-bordered-square,2,Largest 1-Bordered Square,7
weekly-147,/contest/weekly-contest-147/problems/stone-game-ii,3,Stone Game II,7
weekly-148,/contest/weekly-contest-148/problems/decrease-elements-to-make-array-zigzag,0,Decrease Elements To Make Array Zigzag,4
weekly-148,/contest/weekly-contest-148/problems/binary-tree-coloring-game,1,Binary Tree Coloring Game,5
weekly-148,/contest/weekly-contest-148/problems/snapshot-array,2,Snapshot Array,6
weekly-148,/contest/weekly-contest-148/problems/longest-chunked-palindrome-decomposition,3,Longest Chunked Palindrome Decomposition,8
weekly-149,/contest/weekly-contest-149/problems/day-of-the-year,0,Day of the Year,4
weekly-149,/contest/weekly-contest-149/problems/number-of-dice-rolls-with-target-sum,1,Number of Dice Rolls With Target Sum,5
weekly-149,/contest/weekly-contest-149/problems/swap-for-longest-repeated-character-substring,2,Swap For Longest Repeated Character Substring,6
weekly-149,/contest/weekly-contest-149/problems/online-majority-element-in-subarray,3,Online Majority Element In Subarray,9
weekly-150,/contest/weekly-contest-150/problems/find-words-that-can-be-formed-by-characters,0,Find Words That Can Be Formed by Characters,3
weekly-150,/contest/weekly-contest-150/problems/maximum-level-sum-of-a-binary-tree,1,Maximum Level Sum of a Binary Tree,4
weekly-150,/contest/weekly-contest-150/problems/as-far-from-land-as-possible,2,As Far from Land as Possible,5
weekly-150,/contest/weekly-contest-150/problems/last-substring-in-lexicographical-order,3,Last Substring in Lexicographical Order,7
weekly-151,/contest/weekly-contest-151/problems/invalid-transactions,0,Invalid Transactions,4
weekly-151,/contest/weekly-contest-151/problems/compare-strings-by-frequency-of-the-smallest-character,1,Compare Strings by Frequency of the Smallest Character,4
weekly-151,/contest/weekly-contest-151/problems/remove-zero-sum-consecutive-nodes-from-linked-list,2,Remove Zero Sum Consecutive Nodes from Linked List,5
weekly-151,/contest/weekly-contest-151/problems/dinner-plate-stacks,3,Dinner Plate Stacks,6
weekly-152,/contest/weekly-contest-152/problems/prime-arrangements,0,Prime Arrangements,3
weekly-152,/contest/weekly-contest-152/problems/diet-plan-performance,1,Diet Plan Performance,4
weekly-152,/contest/weekly-contest-152/problems/can-make-palindrome-from-substring,2,Can Make Palindrome from Substring,5
weekly-152,/contest/weekly-contest-152/problems/number-of-valid-words-for-each-puzzle,3,Number of Valid Words for Each Puzzle,6
weekly-153,/contest/weekly-contest-153/problems/distance-between-bus-stops,0,Distance Between Bus Stops,3
weekly-153,/contest/weekly-contest-153/problems/day-of-the-week,1,Day of the Week,4
weekly-153,/contest/weekly-contest-153/problems/maximum-subarray-sum-with-one-deletion,2,Maximum Subarray Sum with One Deletion,5
weekly-153,/contest/weekly-contest-153/problems/make-array-strictly-increasing,3,Make Array Strictly Increasing,7
weekly-154,/contest/weekly-contest-154/problems/maximum-number-of-balloons,0,Maximum Number of Balloons,3
weekly-154,/contest/weekly-contest-154/problems/reverse-substrings-between-each-pair-of-parentheses,1,Reverse Substrings Between Each Pair of Parentheses,4
weekly-154,/contest/weekly-contest-154/problems/k-concatenation-maximum-sum,2,K-Concatenation Maximum Sum,5
weekly-154,/contest/weekly-contest-154/problems/critical-connections-in-a-network,3,Critical Connections in a Network,7
weekly-155,/contest/weekly-contest-155/problems/minimum-absolute-difference,0,Minimum Absolute Difference,3
weekly-155,/contest/weekly-contest-155/problems/ugly-number-iii,1,Ugly Number III,4
weekly-155,/contest/weekly-contest-155/problems/smallest-string-with-swaps,2,Smallest String With Swaps,5
weekly-155,/contest/weekly-contest-155/problems/sort-items-by-groups-respecting-dependencies,3,Sort Items by Groups Respecting Dependencies,8
weekly-156,/contest/weekly-contest-156/problems/unique-number-of-occurrences,0,Unique Number of Occurrences,3
weekly-156,/contest/weekly-contest-156/problems/get-equal-substrings-within-budget,1,Get Equal Substrings Within Budget,4
weekly-156,/contest/weekly-contest-156/problems/remove-all-adjacent-duplicates-in-string-ii,2,Remove All Adjacent Duplicates in String II,5
weekly-156,/contest/weekly-contest-156/problems/minimum-moves-to-reach-target-with-rotations,3,Minimum Moves to Reach Target with Rotations,7
weekly-157,/contest/weekly-contest-157/problems/minimum-cost-to-move-chips-to-the-same-position,0,Minimum Cost to Move Chips to The Same Position,3
weekly-157,/contest/weekly-contest-157/problems/longest-arithmetic-subsequence-of-given-difference,1,Longest Arithmetic Subsequence of Given Difference,4
weekly-157,/contest/weekly-contest-157/problems/path-with-maximum-gold,2,Path with Maximum Gold,5
weekly-157,/contest/weekly-contest-157/problems/count-vowels-permutation,3,Count Vowels Permutation,6
weekly-158,/contest/weekly-contest-158/problems/split-a-string-in-balanced-strings,0,Split a String in Balanced Strings,3
weekly-158,/contest/weekly-contest-158/problems/queens-that-can-attack-the-king,1,Queens That Can Attack the King,4
weekly-158,/contest/weekly-contest-158/problems/dice-roll-simulation,2,Dice Roll Simulation,5
weekly-158,/contest/weekly-contest-158/problems/maximum-equal-frequency,3,Maximum Equal Frequency,7
weekly-159,/contest/weekly-contest-159/problems/check-if-it-is-a-straight-line,0,Check If It Is a Straight Line,3
weekly-159,/contest/weekly-contest-159/problems/remove-sub-folders-from-the-filesystem,1,Remove Sub-Folders from the Filesystem,4
weekly-159,/contest/weekly-contest-159/problems/replace-the-substring-for-balanced-string,2,Replace the Substring for Balanced String,5
weekly-159,/contest/weekly-contest-159/problems/maximum-profit-in-job-scheduling,3,Maximum Profit in Job Scheduling,6
weekly-160,/contest/weekly-contest-160/problems/find-positive-integer-solution-for-a-given-equation,0,Find Positive Integer Solution for a Given Equation,3
weekly-160,/contest/weekly-contest-160/problems/circular-permutation-in-binary-representation,1,Circular Permutation in Binary Representation,5
weekly-160,/contest/weekly-contest-160/problems/maximum-length-of-a-concatenated-string-with-unique-characters,2,Maximum Length of a Concatenated String with Unique Characters,5
weekly-160,/contest/weekly-contest-160/problems/tiling-a-rectangle-with-the-fewest-squares,3,Tiling a Rectangle with the Fewest Squares,7
weekly-161,/contest/weekly-contest-161/problems/minimum-swaps-to-make-strings-equal,0,Minimum Swaps to Make Strings Equal,4
weekly-161,/contest/weekly-contest-161/problems/count-number-of-nice-subarrays,1,Count Number of Nice Subarrays,4
weekly-161,/contest/weekly-contest-161/problems/minimum-remove-to-make-valid-parentheses,2,Minimum Remove to Make Valid Parentheses,5
weekly-161,/contest/weekly-contest-161/problems/check-if-it-is-a-good-array,3,Check If It Is a Good Array,6
weekly-162,/contest/weekly-contest-162/problems/cells-with-odd-values-in-a-matrix,0,Cells with Odd Values in a Matrix,3
weekly-162,/contest/weekly-contest-162/problems/reconstruct-a-2-row-binary-matrix,1,Reconstruct a 2-Row Binary Matrix,4
weekly-162,/contest/weekly-contest-162/problems/number-of-closed-islands,2,Number of Closed Islands,5
weekly-162,/contest/weekly-contest-162/problems/maximum-score-words-formed-by-letters,3,Maximum Score Words Formed by Letters,6
weekly-163,/contest/weekly-contest-163/problems/shift-2d-grid,0,Shift 2D Grid,3
weekly-163,/contest/weekly-contest-163/problems/find-elements-in-a-contaminated-binary-tree,1,Find Elements in a Contaminated Binary Tree,4
weekly-163,/contest/weekly-contest-163/problems/greatest-sum-divisible-by-three,2,Greatest Sum Divisible by Three,5
weekly-163,/contest/weekly-contest-163/problems/minimum-moves-to-move-a-box-to-their-target-location,3,Minimum Moves to Move a Box to Their Target Location,8
weekly-164,/contest/weekly-contest-164/problems/minimum-time-visiting-all-points,0,Minimum Time Visiting All Points,3
weekly-164,/contest/weekly-contest-164/problems/count-servers-that-communicate,1,Count Servers that Communicate,4
weekly-164,/contest/weekly-contest-164/problems/search-suggestions-system,2,Search Suggestions System,4
weekly-164,/contest/weekly-contest-164/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps,3,Number of Ways to Stay in the Same Place After Some Steps,6
weekly-165,/contest/weekly-contest-165/problems/find-winner-on-a-tic-tac-toe-game,0,Find Winner on a Tic Tac Toe Game,4
weekly-165,/contest/weekly-contest-165/problems/number-of-burgers-with-no-waste-of-ingredients,1,Number of Burgers with No Waste of Ingredients,4
weekly-165,/contest/weekly-contest-165/problems/count-square-submatrices-with-all-ones,2,Count Square Submatrices with All Ones,5
weekly-165,/contest/weekly-contest-165/problems/palindrome-partitioning-iii,3,Palindrome Partitioning III,6
weekly-166,/contest/weekly-contest-166/problems/subtract-the-product-and-sum-of-digits-of-an-integer,0,Subtract the Product and Sum of Digits of an Integer,3
